51	73	90	46
20	20	68	60
36	58	92	12
56	69	26	18
71	21	28	66
66	46	29	76
75	55	10	55
67	64	74	54
57	13	80	42
43	81	23	46
85	45	15	37
62	23	32	17
23	34	81	69
16	52	70	58
83	38	96	45
74	46	17	15
83	64	68	91
32	17	83	14
39	52	51	93
17	27	35	89
90	36	50	78
72	36	57	30
17	38	79	92
10	20	20	95
18	45	37	53
66	99	63	17
39	75	44	80
64	14	82	63
54	85	43	33
80	78	47	32
68	99	41	53
10	84	44	68
54	98	82	86
42	93	41	52
86	13	81	37
66	30	81	63
73	13	29	34
87	60	63	59
58	86	19	85
24	16	76	93
18	26	39	89
50	16	53	82
29	15	95	28
65	13	86	58
74	49	45	41
18	61	54	32
17	97	56	27
72	26	29	87
71	88	94	23
63	76	90	21
75	31	42	25
71	91	42	56
25	58	90	77
91	99	68	47
49	54	51	62
17	12	94	88
26	54	67	99
28	77	96	51
79	72	90	37
81	42	11	80
24	89	75	52
20	91	94	17
98	85	26	29
33	55	23	54
16	34	58	65
39	91	95	83
68	20	91	68
60	56	40	69
88	18	87	73
81	93	47	56
32	35	87	82
74	75	43	61
82	48	62	22
31	60	36	25
75	49	10	45
39	79	62	11
22	36	16	13
61	70	85	38
83	52	34	76
53	10	64	84
97	83	33	59
85	27	22	61
13	40	79	41
65	88	32	15
43	32	49	81
44	10	60	18
30	47	16	26
61	23	88	84
99	86	81	52
61	51	62	41
86	40	61	98
41	97	27	94
26	30	54	68
37	77	31	34
56	74	20	42
77	33	57	36
68	21	35	63
96	36	39	87
80	11	90	61
33	61	29	72
46	42	55	91
80	71	80	48
75	77	18	55
78	93	22	82
78	43	32	75
94	62	59	70
28	28	67	67
49	52	16	93
36	88	43	82
77	75	26	53
59	69	30	32
47	54	32	25
19	85	60	70
32	65	48	89
45	19	66	24
70	27	24	64
74	23	65	49
83	53	54	25
12	14	30	65
63	72	58	43
68	51	78	64
67	14	27	79
74	27	76	59
95	63	28	80
35	44	85	23
23	61	92	65
54	90	21	26
18	71	23	42
19	12	79	88
81	66	39	34
32	47	20	22
98	26	43	29
55	41	92	41
20	41	33	11
83	97	63	24
51	48	23	98
86	15	93	93
13	95	32	84
20	58	60	78
32	16	64	89
93	81	41	15
46	29	39	14
14	94	68	53
98	93	62	83
63	83	84	50
31	72	36	49
22	83	21	24
41	49	47	12
78	42	52	97
96	28	15	49
22	33	68	10
82	96	78	83
46	81	43	13
20	39	96	76
10	18	76	12
68	35	32	57
15	31	18	10
67	79	51	36
12	30	90	38
37	66	98	37
18	48	43	77
64	42	19	79
26	98	86	97
24	96	62	51
48	81	17	13
46	19	55	21
56	44	73	78
40	56	34	70
30	36	88	39
38	97	52	97
43	61	12	34
20	13	89	38
96	57	54	46
91	37	98	14
84	80	95	99
36	84	39	60
36	19	71	66
28	83	55	96
88	18	68	17
26	68	66	13
13	25	73	49
15	60	94	82
34	32	86	93
51	62	45	37
28	13	53	36
41	63	35	53
92	35	53	75
99	84	92	24
59	20	24	12
10	99	30	85
24	57	93	30
11	37	47	64
15	59	51	97
33	13	93	71
78	16	85	44
51	57	55	19
33	81	96	63
62	58	16	22
90	64	97	43
65	57	51	75
45	42	35	98
84	61	52	83
11	86	11	71
36	87	16	24
52	19	40	65
98	26	50	78
39	28	64	39
29	82	42	90
10	36	52	58
14	13	83	63
92	60	56	55
21	68	70	58
62	26	74	33
90	76	82	77
72	61	97	72
61	21	46	15
90	81	16	30
66	31	60	61
25	54	82	44
11	93	30	78
41	54	36	83
13	22	16	22
95	40	52	75
25	27	49	69
60	17	66	92
22	36	62	39
58	73	13	94
39	25	69	77
90	89	96	72
60	19	43	58
62	39	50	36
79	57	13	69
94	94	45	92
33	55	21	44
24	37	68	27
21	48	88	68
98	13	38	86
35	23	85	68
44	17	47	43
61	15	29	75
75	41	11	14
21	97	55	24
43	25	69	61
66	68	36	11
52	57	93	71
85	32	70	81
26	98	14	50
14	26	10	38
47	78	81	88
28	90	29	20
95	45	37	54
98	76	79	36
20	46	39	34
84	12	12	43
74	88	76	79
52	88	52	93
56	34	47	51
15	86	50	54
98	33	97	21
16	91	20	60
76	93	87	22
44	48	43	55
72	64	45	18
97	39	15	98
69	68	77	62
81	94	68	76
49	47	34	42
37	39	12	70
14	70	47	46
40	49	83	46
97	34	68	38
77	28	78	36
76	22	24	22
38	40	52	96
26	85	99	91
44	11	26	10
19	69	46	63
14	23	98	66
99	23	19	78
35	27	55	35
85	56	33	83
24	10	65	34
82	64	75	54
82	58	14	73
57	17	97	59
91	63	27	93
94	35	37	33
72	89	48	31
19	61	96	66
88	17	37	72
82	63	64	67
98	53	62	97
53	66	76	92
86	50	28	28
68	51	50	85
60	32	96	38
24	75	11	29
75	62	80	98
15	63	96	63
45	40	45	68
37	20	63	24
76	89	14	68
62	28	92	57
71	30	63	47
11	32	87	17
94	11	92	41
47	87	10	69
86	50	21	61
90	98	33	79
99	68	61	37
89	76	98	77
64	84	65	63
69	86	83	20
10	41	14	55
75	78	79	87
85	37	11	58
67	91	99	34
52	15	34	16
99	65	62	67
37	46	48	25
12	46	61	85
54	30	67	14
48	71	18	97
65	79	19	24
82	37	64	91
60	39	21	48
69	32	35	99
67	32	94	86
38	58	48	71
26	95	98	37
21	55	75	19
33	65	26	38
96	82	45	87
53	33	84	88
23	83	66	99
56	94	72	11
97	65	55	65
22	99	40	67
64	18	27	50
54	83	25	36
99	50	67	66
85	71	64	60
69	48	11	60
94	22	53	34
48	19	98	86
13	15	62	97
67	86	23	22
10	66	82	67
40	37	16	87
72	90	80	43
64	52	62	33
62	41	68	78
54	19	41	36
16	72	13	53
39	66	35	25
38	84	73	73
32	77	70	65
12	88	21	24
99	98	12	71
80	33	38	19
93	66	81	78
33	31	34	51
54	28	64	88
52	46	83	57
63	96	75	20
15	25	31	65
24	35	20	93
43	95	80	48
44	15	39	23
15	83	38	96
59	58	46	66
29	88	22	40
14	38	98	15
89	87	23	48
23	83	35	88
16	14	33	89
44	48	15	59
79	90	87	99
38	17	86	51
52	93	59	79
63	20	57	48
34	23	43	92
42	27	35	94
88	10	27	76
54	60	98	50
29	99	93	99
79	23	86	33
89	25	73	80
64	47	85	67
67	64	40	54
81	20	62	95
38	94	84	96
14	37	23	73
75	99	34	38
39	76	56	65
87	92	30	57
91	96	13	33
64	37	44	79
91	14	19	78
34	59	27	75
92	43	12	39
85	16	74	88
57	19	98	66
21	39	38	91
61	24	93	84
24	36	81	50
66	67	51	40
19	93	13	93
35	75	66	68
59	18	69	69
21	61	99	62
95	26	40	51
75	81	98	68
19	70	15	66
27	79	54	97
55	84	91	30
32	14	88	19
67	63	94	41
77	32	94	28
17	51	23	33
77	32	91	83
60	87	86	96
79	64	20	67
42	48	72	87
50	61	50	76
68	48	73	13
52	11	85	13
69	16	16	19
67	43	31	65
12	85	88	89
69	32	56	61
33	34	40	96
85	20	18	34
66	62	55	79
86	73	77	84
61	69	91	68
32	37	59	90
20	20	93	59
93	13	61	66
78	80	64	75
37	73	62	55
15	38	45	55
69	18	78	83
56	46	12	19
52	10	23	66
99	76	65	78
42	69	70	78
42	41	80	10
25	54	48	16
72	99	53	64
55	70	53	13
83	61	63	80
56	35	16	43
11	83	68	16
62	35	18	62
24	77	37	96
71	45	95	63
27	88	23	95
25	59	95	44
94	21	49	94
35	71	33	90
31	30	22	29
80	97	68	91
79	63	38	91
66	69	51	45
45	89	18	62
10	75	96	19
53	98	26	73
54	15	60	39
91	10	81	30
96	15	39	61
26	68	95	92
45	84	95	65
52	87	46	68
